source,target,weight
back,customer,2002
back,go,7834
back,going,3696
back,great,7909
back,im,4006
back,long,1976
back,never,3491
back,order,3671
back,place,9306
back,really,5347
back,take,2820
back,told,2171
back,went,4387
best,go,3805
best,going,1585
best,great,5580
best,im,2245
best,never,1791
best,order,1961
best,place,6610
best,really,3005
best,take,1520
best,went,1734
busy,place,1991
customer,go,1710
customer,great,2030
customer,place,2349
full,great,1698
full,place,2149
go,going,2807
go,great,7421
go,im,3827
go,long,1990
go,never,3502
go,order,3586
go,place,10074
go,really,5148
go,take,2689
go,told,1716
go,went,3557
going,great,3078
going,im,2184
going,place,4060
going,really,2350
going,went,1775
great,im,4178
great,long,2038
great,never,3194
great,order,3738
great,place,14497
great,take,2968
great,went,3976
half,place,1592
im,never,2069
im,order,2220
im,place,5913
im,really,3545
im,take,1725
im,went,1991
long,really,1646
maybe,place,1910
never,place,4614
never,really,2487
never,went,1862
order,place,5356
order,really,2890
order,went,1896
place,really,8618
place,take,3949
place,told,2031
place,went,4705
really,take,2215
really,went,2881
actually,get,1599
actually,one,1694
around,didnt,1589
around,first,1569
around,get,2973
around,great,2899
around,one,3085
around,really,2136
around,u,1790
didnt,experience,1937
didnt,first,2441
didnt,get,4013
didnt,give,1636
didnt,going,1708
didnt,great,3421
didnt,know,2196
didnt,never,1920
didnt,one,4023
didnt,price,1534
didnt,really,3251
didnt,took,1697
didnt,u,2774
didnt,way,1787
enjoyed,great,1740
enjoyed,really,1672
experience,first,2348
experience,get,3113
experience,great,4206
experience,know,1517
experience,new,1528
experience,one,3546
experience,really,2632
experience,u,2455
favorite,get,2037
favorite,great,2861
favorite,one,2847
favorite,really,1549
find,get,2168
find,great,2455
find,one,2409
find,really,1717
first,get,3832
first,give,1546
first,going,1771
first,great,4162
first,know,1922
first,lot,1530
first,never,1945
first,new,1786
first,one,4185
first,price,1620
first,really,3111
first,took,1604
first,u,2625
first,way,1864
get,give,2701
get,going,3314
get,great,7740
get,hour,2647
get,know,3558
get,lot,2948
get,never,3754
get,new,2906
get,one,7768
get,price,3484
get,really,5781
get,took,2681
get,u,3947
get,way,3295
give,great,2534
give,one,2813
give,really,2063
give,u,1642
going,know,1614
going,one,3114
going,u,1660
great,highly,1931
great,hour,2393
great,know,3023
great,loved,2025
great,new,3613
great,perfect,2185
great,price,4806
great,took,2216
great,way,3139
hour,one,2441
hour,really,1667
hour,u,1556
know,never,1832
know,one,3476
know,really,2611
know,u,1885
know,way,1602
never,one,3701
never,u,2166
new,one,3245
new,orleans,2167
new,really,2256
new,u,1694
one,perfect,1602
one,price,3214
one,thought,1596
one,took,2519
one,way,3330
price,really,2720
price,u,1595
really,took,1748
really,way,2476
took,u,2206
u,way,1892
amazing,definitely,1917
amazing,delicious,2028
amazing,would,2168
beer,selection,1834
cheese,delicious,1666
definitely,delicious,2563
definitely,nice,2397
definitely,recommend,2092
definitely,would,3776
delicious,nice,2209
delicious,recommend,1528
delicious,would,2769
nice,recommend,1542
nice,would,4080
recommend,would,4054
also,bit,1921
also,even,3206
also,get,5462
also,go,4639
also,going,2066
also,like,5823
also,need,1623
also,pretty,2621
also,really,4820
also,went,2618
also,work,1506
also,would,4820
bit,get,2341
bit,go,2005
bit,like,2526
bit,really,1995
bit,would,2185
clean,get,1528
clean,staff,1837
even,get,4841
even,go,4086
even,going,2018
even,pretty,1788
even,really,3446
even,staff,2328
even,went,2453
even,would,4178
get,go,7090
get,like,7553
get,look,1977
get,looking,1774
get,need,2465
get,pretty,3225
get,put,1515
get,staff,3427
get,thats,1879
get,went,3593
get,work,2335
get,would,6383
go,like,6675
go,look,1724
go,looking,1706
go,need,2096
go,pretty,2739
go,staff,3174
go,thats,1589
go,work,1888
go,would,6063
going,would,2651
like,look,2771
like,looking,1945
like,pretty,3483
like,put,1585
like,staff,3398
like,thats,1993
like,went,3532
look,really,1645
look,would,1728
looking,really,1517
looking,would,1733
need,really,1752
need,would,1963
pretty,really,2909
pretty,went,1544
pretty,would,2763
really,staff,2912
really,work,1610
staff,went,1629
staff,would,3087
went,would,3587
work,would,1927
back,experience,3307
back,food,9216
back,good,8861
back,night,2819
back,one,6594
back,pretty,2679
back,said,2867
back,service,7110
back,well,4343
cooked,food,1931
cooked,good,1852
experience,go,2802
experience,im,1821
experience,service,3594
experience,well,2082
food,fun,1565
food,go,8833
food,im,4977
food,item,1874
food,kind,1966
food,maybe,1776
food,night,3951
food,one,9002
food,plate,2124
food,pretty,4246
food,really,7835
food,said,3024
food,service,14154
food,three,1522
food,waitress,2357
food,well,6020
go,good,8513
go,night,2532
go,one,6580
go,said,2328
go,service,6063
go,well,3922
good,im,5295
good,item,1734
good,kind,2112
good,night,3770
good,plate,1772
good,pretty,5557
good,said,3005
good,service,11351
good,three,1544
good,waitress,1760
im,one,4374
im,pretty,2109
im,said,1505
im,service,3466
im,well,2498
item,one,1508
kind,one,1711
night,one,3068
night,really,2257
night,service,2890
night,well,1856
one,order,4116
one,pretty,3098
one,said,2871
one,service,6731
one,three,1520
order,pretty,1707
order,said,1714
order,service,3954
order,well,2430
pretty,service,2816
pretty,well,2015
really,said,1967
really,service,5312
