antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"food, get, like",good,0.039,0.358,0.022,0.5641025641025641,1.5757054863200115,1.0,0.008038,1.4728235294117646,0.3801910888279255,0.05866666666666667,0.32103203131240515,0.31277753903452227
"food, get, good",like,0.042,0.209,0.022,0.5238095238095237,2.506265664160401,1.0,0.013222,1.6610999999999998,0.6273486430062631,0.09606986899563318,0.39798928420925883,0.3145363408521303
"get, good, like",food,0.042,0.359,0.022,0.5238095238095237,1.4590794535084226,1.0,0.006921999999999998,1.3460999999999999,0.32843044220914774,0.05804749340369394,0.2571131416685238,0.2925454304284387
"get, like, place",good,0.046,0.358,0.029,0.6304347826086957,1.7609910128734516,1.0,0.012532000000000001,1.7371764705882355,0.45297477047639706,0.07733333333333335,0.4243532439387783,0.35572018460043725
"get, good, place",like,0.048,0.209,0.029,0.6041666666666666,2.890749601275917,1.0,0.018968000000000002,1.998315789473684,0.687047232686178,0.12719298245614036,0.4995785924989465,0.37146132376395535
"get, good, like",place,0.042,0.369,0.029,0.6904761904761905,1.871209188282359,1.0,0.013502,2.0386153846153845,0.48599812828450073,0.07591623036649216,0.5094709833220135,0.38453348819202476
"like, service",food,0.064,0.359,0.041,0.640625,1.7844707520891365,1.0,0.018024000000000002,1.7836521739130435,0.4696685428392746,0.10732984293193717,0.43935257410296413,0.3774155640668524
"like, service",place,0.064,0.369,0.032,0.5,1.3550135501355014,1.0,0.008383999999999999,1.262,0.27991452991452986,0.0798004987531172,0.2076069730586371,0.29336043360433606
"like, service",good,0.064,0.358,0.034,0.53125,1.4839385474860336,1.0,0.011088000000000004,1.3696,0.34841628959276033,0.08762886597938145,0.26985981308411217,0.31311103351955305
"like, place, service",food,0.032,0.359,0.021,0.65625,1.8279944289693595,1.0,0.009512000000000001,1.8647272727272728,0.46792601338055884,0.05675675675675676,0.4637285491419657,0.35737291086350975
"food, like, service",place,0.041,0.369,0.021,0.5121951219512195,1.388062661114416,1.0,0.005871000000000001,1.29355,0.29152390883360646,0.053984575835475584,0.22693363225232888,0.2845528455284553
"food, like, service",good,0.041,0.358,0.025,0.6097560975609756,1.7032293227960213,1.0,0.010322000000000001,1.645125,0.43053180396246093,0.06684491978609627,0.3921434541448218,0.33979424989780627
"good, like, service",food,0.034,0.359,0.025,0.7352941176470588,2.0481730296575456,1.0,0.012794000000000002,2.421555555555555,0.5297722567287785,0.06793478260869566,0.5870423052216206,0.40246600032770763
"food, like, service",great,0.041,0.349,0.022,0.5365853658536585,1.5374938849675028,1.0,0.007691,1.4047894736842104,0.36453692293108353,0.05978260869565218,0.2881495635232849,0.29981130756866303
"great, like, service",food,0.027,0.359,0.022,0.8148148148148148,2.2696791499019913,1.0,0.012306999999999998,3.4613999999999994,0.5749322619826217,0.06043956043956044,0.7110995550933148,0.43804807593108425
"food, great, like",service,0.041,0.28,0.022,0.5365853658536585,1.9163763066202086,1.0,0.010519999999999996,1.5536842105263156,0.49862546212911163,0.07357859531772575,0.35636856368563674,0.3075783972125435
"get, like",one,0.08,0.224,0.04,0.5,2.232142857142857,1.0,0.02208,1.552,0.6,0.15151515151515152,0.3556701030927835,0.3392857142857143
"like, one",get,0.067,0.219,0.04,0.5970149253731343,2.726095549649015,1.0,0.025327000000000002,1.9380370370370368,0.6786441586280814,0.16260162601626016,0.4840139889540772,0.38983166359980914
"get, one",like,0.077,0.209,0.04,0.5194805194805195,2.485552724787175,1.0,0.023907,1.6461351351351354,0.6475352112676056,0.1626016260162602,0.39251645952025227,0.355434039644566
"like, one",good,0.067,0.358,0.04,0.5970149253731343,1.6676394563495371,1.0,0.016014,1.593111111111111,0.4290996784565916,0.10389610389610389,0.37229739154693814,0.35437338447427663
"like, one",place,0.067,0.369,0.039,0.582089552238806,1.5774784613517778,1.0,0.014276999999999998,1.5098928571428571,0.3923654052271415,0.0982367758186398,0.3377013506161743,0.34389030457468756
"like, one",time,0.067,0.273,0.038,0.5671641791044776,2.0775244655841667,1.0,0.019708999999999997,1.6796206896551722,0.5559034241552433,0.1258278145695364,0.404627481574247,0.35317915914930836
"get, good, like",one,0.042,0.224,0.022,0.5238095238095237,2.3384353741496593,1.0,0.012591999999999997,1.6295999999999997,0.5974568229265514,0.0901639344262295,0.3863524791359842,0.3110119047619047
"good, like, one",get,0.04,0.219,0.022,0.5499999999999999,2.511415525114155,1.0,0.013239999999999998,1.7355555555555553,0.6268939393939394,0.09282700421940927,0.4238156209987195,0.32522831050228307
"get, good, one",like,0.032,0.209,0.022,0.6875,3.2894736842105265,1.0,0.015312,2.5312,0.71900826446281,0.1004566210045662,0.6049304677623262,0.3963815789473684
"get, like, one",good,0.04,0.358,0.022,0.5499999999999999,1.536312849162011,1.0,0.007679999999999999,1.4266666666666665,0.36363636363636365,0.05851063829787235,0.2990654205607476,0.3057262569832402
"like, one, place",good,0.039,0.358,0.025,0.6410256410256411,1.7905744162727406,1.0,0.011038000000000003,1.7884285714285717,0.45943808532778363,0.06720430107526883,0.4408499081396279,0.355429021630139
"good, like, one",place,0.04,0.369,0.025,0.625,1.6937669376693767,1.0,0.01024,1.6826666666666668,0.4266666666666667,0.06510416666666669,0.40570522979397783,0.34637533875338755
"get, like, place",one,0.046,0.224,0.023,0.5,2.232142857142857,1.0,0.012695999999999999,1.552,0.5786163522012578,0.09311740890688258,0.3556701030927835,0.3013392857142857
"like, one, place",get,0.039,0.219,0.023,0.5897435897435898,2.692893103852008,1.0,0.014459,1.9036875000000002,0.6541645930416686,0.0978723404255319,0.47470370005581275,0.347383210396909
"get, one, place",like,0.04,0.209,0.023,0.575,2.751196172248804,1.0,0.01464,1.8611764705882352,0.6630434782608696,0.10176991150442477,0.46270543615676357,0.34252392344497606
"get, like, one",place,0.04,0.369,0.023,0.575,1.5582655826558265,1.0,0.008239999999999999,1.484705882352941,0.37318840579710144,0.05958549222797928,0.32646592709984146,0.3186653116531165
"get, great, like",one,0.039,0.224,0.02,0.5128205128205129,2.2893772893772897,1.0,0.011264,1.592842105263158,0.5860561914672217,0.0823045267489712,0.37219138250066097,0.3010531135531136
