support,itemsets
0.0598,frozenset({'taste'})
0.0574,frozenset({'happy'})
0.0274,frozenset({'fan'})
0.0376,frozenset({'id'})
0.033,frozenset({'appetizer'})
0.0234,frozenset({'slow'})
0.1193,frozenset({'little'})
0.0989,frozenset({'better'})
0.0717,frozenset({'excellent'})
0.0545,frozenset({'hot'})
0.053,frozenset({'super'})
0.0274,frozenset({'bacon'})
0.0265,frozenset({'wrong'})
0.0223,frozenset({'bite'})
0.0212,frozenset({'drive'})
0.0212,frozenset({'warm'})
0.0577,frozenset({'home'})
0.053,frozenset({'fry'})
0.0639,frozenset({'atmosphere'})
0.0526,frozenset({'big'})
0.0241,frozenset({'course'})
0.022,frozenset({'expensive'})
0.0215,frozenset({'across'})
0.0731,frozenset({'still'})
0.0571,frozenset({'spot'})
0.0558,frozenset({'server'})
0.0531,frozenset({'sweet'})
0.0396,frozenset({'everyone'})
0.0332,frozenset({'dessert'})
0.028,frozenset({'deal'})
0.0241,frozenset({'bartender'})
0.1379,frozenset({'got'})
0.0874,frozenset({'bar'})
0.0853,frozenset({'ever'})
0.031,frozenset({'job'})
0.1002,frozenset({'people'})
0.0834,frozenset({'right'})
0.04,frozenset({'ill'})
0.0391,frozenset({'enjoy'})
0.0342,frozenset({'keep'})
0.0325,frozenset({'business'})
0.0321,frozenset({'soup'})
0.031,frozenset({'music'})
0.0306,frozenset({'bring'})
0.0228,frozenset({'amount'})
0.0402,frozenset({'huge'})
0.0348,frozenset({'inside'})
0.0785,frozenset({'think'})
0.0734,frozenset({'sauce'})
0.062,frozenset({'flavor'})
0.0569,frozenset({'enough'})
0.056,frozenset({'visit'})
0.05,frozenset({'burger'})
0.0496,frozenset({'pizza'})
0.0457,frozenset({'overall'})
0.0334,frozenset({'couple'})
0.0273,frozenset({'red'})
0.024,frozenset({'light'})
0.0233,frozenset({'might'})
0.0206,frozenset({'serve'})
0.0203,frozenset({'ended'})
0.0212,frozenset({'show'})
0.0523,frozenset({'youre'})
0.0482,frozenset({'however'})
0.04,frozenset({'town'})
0.039,frozenset({'else'})
0.0382,frozenset({'quick'})
0.0302,frozenset({'spicy'})
0.0295,frozenset({'fish'})
0.1149,frozenset({'ordered'})
0.09,frozenset({'wait'})
0.0786,frozenset({'star'})
0.072,frozenset({'worth'})
0.0717,frozenset({'minute'})
0.0517,frozenset({'tasty'})
0.0494,frozenset({'quality'})
0.0414,frozenset({'4'})
0.0379,frozenset({'quite'})
0.0371,frozenset({'husband'})
0.0369,frozenset({'fast'})
0.0357,frozenset({'house'})
0.0355,frozenset({'roll'})
0.0354,frozenset({'street'})
0.0349,frozenset({'called'})
0.0342,frozenset({'decent'})
0.0335,frozenset({'rice'})
0.0306,frozenset({'felt'})
0.0289,frozenset({'dining'})
0.0286,frozenset({'seemed'})
0.0275,frozenset({'although'})
0.0268,frozenset({'isnt'})
0.0264,frozenset({'oh'})
0.0231,frozenset({'piece'})
0.0216,frozenset({'counter'})
0.0212,frozenset({'tea'})
0.0208,frozenset({'fact'})
0.0709,frozenset({'lunch'})
0.0697,frozenset({'awesome'})
0.0286,frozenset({'pork'})
0.0281,frozenset({'beef'})
0.0902,frozenset({'everything'})
0.0606,frozenset({'last'})
0.0745,frozenset({'cant'})
0.0595,frozenset({'special'})
0.0329,frozenset({'trying'})
0.0329,frozenset({'tasted'})
0.0288,frozenset({'problem'})
0.0283,frozenset({'wife'})
0.0242,frozenset({'quickly'})
0.0409,frozenset({'guy'})
0.0357,frozenset({'least'})
0.0255,frozenset({'help'})
0.0588,frozenset({'feel'})
0.0278,frozenset({'waiter'})
