antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'good', 'place', 'like'})",frozenset({'food'}),0.0561,0.3643,0.0304,0.5418894830659536,1.4874814248310557,1.0,0.00996277,1.387656420233463,0.3472006540612576,0.07794871794871795,0.27936052078960777,0.31266859549948794
"frozenset({'food', 'place', 'like'})",frozenset({'good'}),0.0518,0.3481,0.0304,0.5868725868725869,1.685931016583128,1.0,0.012368419999999998,1.577963551401869,0.42908238879206023,0.08227334235453314,0.3662718006942582,0.3371019067657965
"frozenset({'like', 'time'})",frozenset({'good'}),0.0826,0.3481,0.0416,0.5036319612590798,1.4468025316261988,1.0,0.012846939999999994,1.3133399999999997,0.33662597893712987,0.10691338987406836,0.23858254526626757,0.31156892518570195
"frozenset({'like', 'time'})",frozenset({'place'}),0.0826,0.3787,0.0441,0.5338983050847457,1.4098186033397035,1.0,0.012819379999999998,1.3329709090909088,0.3168616621854031,0.10570469798657718,0.24979608093472672,0.3251746608603026
"frozenset({'good', 'like', 'time'})",frozenset({'place'}),0.0416,0.3787,0.0256,0.6153846153846154,1.6249923828482056,1.0,0.009846080000000004,1.61538,0.40130686560934903,0.06485938687610844,0.3809506122398446,0.3414921492555504
"frozenset({'place', 'like', 'time'})",frozenset({'good'}),0.0441,0.3481,0.0256,0.5804988662131519,1.667620988834105,1.0,0.01024879,1.5539886486486485,0.41881301325975523,0.06983087834151665,0.35649465594899826,0.327020475910368
"frozenset({'good', 'like', 'time'})",frozenset({'food'}),0.0416,0.3643,0.0215,0.516826923076923,1.4186849384488691,1.0,0.006345119999999999,1.3156776119402982,0.3079318243584268,0.055931321540062424,0.23993538316332078,0.287922108258198
"frozenset({'food', 'like', 'time'})",frozenset({'good'}),0.0379,0.3481,0.0215,0.567282321899736,1.6296533234695088,1.0,0.008307009999999997,1.5065249999999994,0.401592930193883,0.05898491083676269,0.33622077297090974,0.3145230914296152
"frozenset({'food', 'like', 'time'})",frozenset({'place'}),0.0379,0.3787,0.0226,0.596306068601583,1.5746133314010642,1.0,0.008247269999999998,1.5390372549019602,0.37929887883529106,0.05736040609137056,0.35024314920583133,0.32799195693084165
"frozenset({'place', 'like', 'time'})",frozenset({'food'}),0.0441,0.3643,0.0226,0.5124716553287981,1.4067297703233548,1.0,0.006534369999999998,1.3039241860465114,0.3024703587500821,0.05857957490927942,0.23308424623060897,0.287254219100029
"frozenset({'great', 'like'})",frozenset({'place'}),0.0791,0.3787,0.0436,0.5512010113780025,1.4555083479746567,1.0,0.01364483,1.384361408450704,0.3398358307240324,0.10526315789473684,0.2776452782520562,0.33316586085139893
"frozenset({'good', 'great', 'like'})",frozenset({'place'}),0.0377,0.3787,0.0229,0.6074270557029178,1.6039795503113752,1.0,0.008623010000000002,1.5826358108108107,0.39130276942931946,0.05819567979669631,0.36814269387239307,0.3339485423748283
"frozenset({'place', 'great', 'like'})",frozenset({'good'}),0.0436,0.3481,0.0229,0.5252293577981652,1.508846187297228,1.0,0.00772284,1.3730840579710144,0.35261597803992045,0.0620932754880694,0.2717124678603546,0.29550752578216216
"frozenset({'food', 'great', 'like'})",frozenset({'place'}),0.0357,0.3787,0.0221,0.6190476190476191,1.6346649565556353,1.0,0.008580410000000002,1.6309125,0.40262765337949413,0.0563344379301555,0.3868463206947032,0.3387025789983276
"frozenset({'place', 'great', 'like'})",frozenset({'food'}),0.0436,0.3643,0.0221,0.5068807339449541,1.3913827448392921,1.0,0.00621652,1.289140465116279,0.2941138621262615,0.05728356661482634,0.22428934079747387,0.2837725108099736
"frozenset({'food', 'great', 'like'})",frozenset({'good'}),0.0357,0.3481,0.0209,0.5854341736694677,1.6817988327189535,1.0,0.008472829999999997,1.572488513513513,0.4204070979916015,0.0575916230366492,0.36406530705548046,0.32273719599876716
"frozenset({'good', 'great', 'like'})",frozenset({'food'}),0.0377,0.3643,0.0209,0.5543766578249337,1.5217585995743446,1.0,0.007165889999999999,1.4265410714285713,0.35629798424528153,0.05484124901600629,0.2990037090214468,0.30587347851444324
"frozenset({'get', 'like'})",frozenset({'place'}),0.0709,0.3787,0.0396,0.5585331452750353,1.4748696732902966,1.0,0.012750170000000002,1.4073536741214057,0.3465439564083413,0.09658536585365855,0.28944655605188363,0.33155070255565866
"frozenset({'get', 'like'})",frozenset({'good'}),0.0709,0.3481,0.0373,0.5260930888575458,1.5113274600906228,1.0,0.012619709999999996,1.3755866071428569,0.3641481291676368,0.09772072308095361,0.27303741196126063,0.3166231028889855
"frozenset({'place', 'like', 'get'})",frozenset({'good'}),0.0396,0.3481,0.0232,0.5858585858585857,1.6830180576230558,1.0,0.009415239999999997,1.5740999999999994,0.42256279711039924,0.06364883401920438,0.36471634584842116,0.3262530504702294
"frozenset({'good', 'get', 'like'})",frozenset({'place'}),0.0373,0.3787,0.0232,0.6219839142091153,1.6424185746213764,1.0,0.00907449,1.6435808510638295,0.4062966763735614,0.059063136456211814,0.39157237117192223,0.3416230635212463
"frozenset({'place', 'like', 'get'})",frozenset({'food'}),0.0396,0.3643,0.0203,0.5126262626262625,1.4071541658695101,1.0,0.005873719999999997,1.3043378238341965,0.30127635652632406,0.05291970802919707,0.23332745418634976,0.28417478379734756
"frozenset({'food', 'get', 'like'})",frozenset({'place'}),0.0318,0.3787,0.0203,0.6383647798742138,1.6856740952580245,1.0,0.008257339999999998,1.7180295652173911,0.42012550840877844,0.05202460276781137,0.4179378398104198,0.3459846080517095
"frozenset({'like', 'service'})",frozenset({'good'}),0.0631,0.3481,0.0342,0.5419968304278923,1.557014738373721,1.0,0.012234889999999998,1.4233525951557093,0.38183938695423936,0.09071618037135279,0.29743339534881463,0.32012223020963704
"frozenset({'like', 'service'})",frozenset({'food'}),0.0631,0.3643,0.0335,0.5309033280507132,1.4573245348633355,1.0,0.010512669999999998,1.3551577702702702,0.33494614662836947,0.08504696623508505,0.26207854027168975,0.3114302531002948
"frozenset({'like', 'service'})",frozenset({'place'}),0.0631,0.3787,0.032,0.5071315372424723,1.3391379383218176,1.0,0.008104030000000002,1.2605797427652732,0.2703073300245491,0.07808687164470475,0.20671420769752505,0.2958155705752895
